timeline,likes,people,posts,relation_corp,relation_org,views,pe1,pe2,pe3,pe
2018-06-01,0.29254571026722925,316,0.8737693389592123,0.11889692585895117,0.5126582278481013,0.2571994733493567,0.8737693389592123,0.1986520706795157,0.5126582278481013,0.6351230473641922
2018-05-01,0.1074074074074074,260,0.9252136752136753,0.05274725274725275,0.4153846153846154,0.06092376956247485,0.9252136752136753,0.07078060250834356,0.4153846153846154,0.6179008474191697
2018-04-01,0.10841870239033359,188,0.8185579196217494,0.04711246200607903,0.07180851063829788,0.06356605769317543,0.8185579196217494,0.06879505325877468,0.07180851063829788,0.5189541188145118
2018-03-01,0.19715485366923605,197,0.8516638465877044,0.06236403190717911,0.3083756345177665,1.0,0.8516638465877044,0.2903284720543604,0.3083756345177665,0.6289344130207075
2018-02-01,0.2578721043140519,178,0.7833957553058677,0.08186195826645264,0.4550561797752809,0.20012064195699106,0.7833957553058677,0.1583167388188401,0.4550561797752809,0.5630380928067007
2018-01-01,0.1797078768909755,142,0.837245696400626,0.07243460764587525,0.522887323943662,0.08083569634973704,0.837245696400626,0.10629680616017768,0.522887323943662,0.586525192082795
2017-12-01,0.16049382716049382,124,0.9050179211469535,0.05529953917050691,0.32661290322580644,0.07413033235201562,0.9050179211469535,0.09062398420380471,0.32661290322580644,0.6028592382718941
2017-11-01,0.19341563786008228,117,0.7834757834757835,0.05616605616605617,0.576923076923077,0.07403500249534463,0.7834757834757835,0.10091471994012169,0.576923076923077,0.5580521937598143
2017-10-01,0.12005443763973947,127,0.804899387576553,0.03487064116985377,0.3188976377952756,0.09426226884759721,0.804899387576553,0.07230410564636816,0.3188976377952756,0.5365206280193697
2017-09-01,0.13066754069703923,113,0.8505408062930186,0.04171934260429836,0.4778761061946903,0.10196626770881165,0.8505408062930186,0.08045318705302328,0.4778761061946903,0.5822480505111872
2017-08-01,0.19077568134171907,106,0.7651991614255764,0.09164420485175202,0.5731132075471698,0.12987657855144064,0.7651991614255764,0.12903012253867985,0.5731132075471698,0.5551398543716668
2017-07-01,0.1121898597626753,103,0.7551240560949299,0.020804438280166433,0.5242718446601942,0.0579948412464191,0.7551240560949299,0.05565814531816962,0.5242718446601942,0.5221990617184282
2017-06-01,0.2192110809996989,82,0.8265582655826558,0.05052264808362369,0.49390243902439024,0.11786318980113313,0.8265582655826558,0.11459728630194814,0.49390243902439024,0.5797043891426169
