timeline,likes,people,posts,relation_corp,relation_org,views,pe1,pe2,pe3,pe
2018-09-01,0.16864742501414828,558,0.1646953405017921,0.08661887694145759,0.3359347901491502,0.7071801367217326,0.1646953405017921,0.2353396933193198,0.3359347901491502,0.2030125913117862
2018-08-01,0.16873352211698076,539,0.18552875695732837,0.09523809523809523,0.42803279669639116,0.729039667815178,0.18552875695732837,0.24404703781717746,0.42803279669639116,0.22733464518918936
2018-07-01,0.25198820480743456,589,0.17962648556876062,0.07149594416147896,0.4406594008434197,0.8565641608265144,0.17962648556876062,0.28265726568827276,0.4406594008434197,0.23663901113208016
2018-06-01,0.24877305804704689,622,0.19630225080385852,0.06145051804215792,0.4636448501192822,0.6135435050649131,0.19630225080385852,0.22806587744817564,0.4636448501192822,0.232565598728696
2018-05-01,0.20056313623565086,729,0.22578875171467763,0.07575064776710867,0.5736094517456525,0.7132440153882649,0.22578875171467763,0.24069306783190259,0.5736094517456525,0.26504211655294263
2018-04-01,0.14041783848935316,524,0.20458015267175572,0.0765479219677693,0.27517852745629157,0.4170636514951501,0.20458015267175572,0.16381204282972062,0.27517852745629157,0.19940955719759876
2018-03-01,0.14313561681982734,567,0.17513227513227514,0.06917499510092102,0.4747112704101951,0.4578553968695991,0.17513227513227514,0.16909926197032854,0.4747112704101951,0.20328027071148316
2018-02-01,0.1627637375376768,454,0.19339207048458149,0.06216348507097406,0.4446497086826773,0.5425126693385446,0.19339207048458149,0.188413397664499,0.4446497086826773,0.2170242324583663
2018-01-01,0.1963296398891967,304,0.16611842105263158,0.09612573099415206,0.4901315789473684,0.7441135734072023,0.16611842105263158,0.2557844721452755,0.4901315789473684,0.22541955216989842
2017-12-01,0.2679080372411172,277,0.15776173285198555,0.08503810669875651,0.5205543263072085,0.7690344996064167,0.15776173285198555,0.2766983644429968,0.5205543263072085,0.2297219816748112
2017-11-01,0.11974567290709998,298,0.16610738255033558,0.07867263236390754,1.0,0.4576037408958638,0.16610738255033558,0.16678076623325652,1.0,0.2496986594001783
2017-10-01,0.10838537020517394,236,0.20296610169491527,0.0795668549905838,0.6517222525970475,0.5628902765388046,0.20296610169491527,0.18487709386460502,0.6517222525970475,0.24241501443603541
2017-09-01,0.11497189575881452,206,0.16213592233009708,0.07119741100323625,0.3499843407453805,0.5195026400953842,0.16213592233009708,0.17399080224833932,0.3499843407453805,0.1844772281470981
2017-08-01,0.10133542812254517,134,0.2126865671641791,0.06882255389718077,0.1793452094366875,0.2906145961919725,0.2126865671641791,0.12293482462374844,0.1793452094366875,0.18242690862930072
2017-07-01,0.07655502392344499,132,0.14924242424242423,0.05555555555555555,0.36412512218963833,0.40806561859193435,0.14924242424242423,0.13235740867319815,0.36412512218963833,0.1656651893663778
2017-06-01,0.14196040560115888,109,0.15412844036697249,0.10703363914373089,0.793725954424386,0.41627003288036607,0.15412844036697249,0.17935894782828632,0.793725954424386,0.22565734401110799
2017-05-01,0.07809847198641766,93,0.16774193548387098,0.06571087216248507,0.6201873048907388,0.41409976554288946,0.16774193548387098,0.13910493078574573,0.6201873048907388,0.2043953710151202
2017-04-01,0.058876003568242644,59,0.13050847457627118,0.03766478342749529,0.6517222525970475,0.2716112314685018,0.13050847457627118,0.0908174390779208,0.6517222525970475,0.1707225417288437
2017-03-01,0.13611615245009073,58,0.16034482758620688,0.05172413793103448,0.0,0.4761040532365396,0.16034482758620688,0.16191772534785237,0.0,0.14478221415607984
2017-02-01,0.10855263157894737,32,0.16875,0.05555555555555555,0.3004032258064516,0.47525062656641603,0.16875,0.1553936925647452,0.3004032258064516,0.1779084303500687
2017-01-01,0.13533834586466165,14,0.14285714285714285,0.015873015873015872,0.0,0.22448979591836735,0.14285714285714285,0.0934359708795799,0.0,0.11374507697815966
2016-12-01,1.0,12,0.1,0.10185185185185185,0.0,1.0,0.1,0.5509259259259259,0.0,0.22527777777777777
2016-11-01,0.06315789473684211,10,0.1,0.06666666666666667,0.0,0.49323308270676697,0.1,0.15092731829573935,0.0,0.1052781954887218
2016-10-01,0.03715170278637771,17,0.11176470588235295,0.0915032679738562,0.0,0.13386407194456731,0.11176470588235295,0.08366995921175488,0.0,0.09215981129293824
2016-09-01,0.5052631578947369,5,0.13999999999999999,0.2,0.0,0.25664160401002506,0.13999999999999999,0.30290726817042607,0.0,0.1748721804511278
2016-08-01,0.0,2,0.1,0.2222222222222222,0.0,0.042606516290726815,0.1,0.11963241436925647,0.0,0.09588972431077694
2016-07-01,0.0,3,0.13333333333333333,0.07407407407407407,0.0,0.19883040935672514,0.13333333333333333,0.07680311890838207,0.0,0.10304093567251463
2016-06-01,0.12631578947368421,5,0.1,0.3111111111111111,0.0,0.43609022556390975,0.1,0.2806683375104428,0.0,0.14420050125313283
2016-05-01,0.0,4,0.1,0.25,0.0,0.2907268170426065,0.1,0.1831453634085213,0.0,0.11494360902255639
2016-04-01,0.0,4,0.125,0.05555555555555555,0.0,0.20300751879699247,0.125,0.06837928153717628,0.0,0.09551378446115288
2016-03-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,0.0,1,0.1,1.0,0.0,0.39598997493734334,0.1,0.5791979949874687,0.0,0.2337593984962406
2016-01-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,0.0,1,0.1,0.1111111111111111,0.0,0.17042606516290726,0.1,0.08964076858813701,0.0,0.0868922305764411
2015-11-01,0.0,2,0.1,0.05555555555555555,0.0,0.05513784461152882,0.1,0.03880534670008354,0.0,0.07164160401002506
