timeline,likes,people,posts,relation_corp,relation_org,views,pe1,pe2,pe3,pe
2018-09-01,0.03372501850481125,56,0.036203522504892366,0.030612244897959183,0.0,0.0464434645359799,0.036203522504892366,0.03471232090761894,0.0,0.032135809775221104
2018-08-01,0.0253260675361801,58,0.0396787907416155,0.021346469622331693,0.0,0.06919084630334331,0.0396787907416155,0.03210922433268854,0.0,0.033440041744775856
2018-07-01,0.026082374637744796,59,0.04782911539354539,0.020446596717783157,0.038135593220338986,0.13221300802463423,0.04782911539354539,0.044490612355141866,0.038135593220338986,0.04585821226470369
2018-06-01,0.02925105982100801,55,0.0423412204234122,0.023088023088023088,0.04090909090909091,0.048265727651824554,0.0423412204234122,0.02997247502067886,0.04090909090909091,0.038487383851160066
2018-05-01,0.043118745120306626,73,0.06155000938262339,0.01869971732985432,0.21575342465753425,0.06021013478377884,0.06155000938262339,0.03432750915777492,0.21575342465753425,0.06880360084265993
2018-04-01,0.04217464187747638,68,0.060838033843674456,0.025676937441643323,0.0,0.04619067006880995,0.060838033843674456,0.03472899529782657,0.0,0.04692151889555264
2018-03-01,0.015339514589582767,76,0.03821196827685652,0.010860484544695072,0.05921052631578947,0.0317421978056788,0.03821196827685652,0.016380536210358128,0.05921052631578947,0.033762394460800295
2018-02-01,0.033966609096142776,81,0.055132758329105365,0.023515579071134624,0.0,0.10844570549656316,0.055132758329105365,0.043636913363722774,0.0,0.04617072900658005
2018-01-01,0.014725934005999456,38,0.044700793078586876,0.006683375104427736,0.0,0.03583024669709181,0.044700793078586876,0.014925517093432067,0.0,0.03129813097518175
2017-12-01,0.07886315147820787,34,0.03223207091055601,0.02987861811391223,0.0,0.05412240129274701,0.03223207091055601,0.04942273475896788,0.0,0.03416606297402397
2017-11-01,0.051295336787564774,40,0.11301369863013698,0.03333333333333333,0.11250000000000002,0.14177485920639699,0.11301369863013698,0.0604102395442155,0.11250000000000002,0.09718129104134685
2017-10-01,0.08493708364174686,28,0.06164383561643835,0.020408163265306124,0.08035714285714286,0.18388074459395554,0.06164383561643835,0.07246135564396823,0.08035714285714286,0.06676042234876776
2017-09-01,0.034974093264248704,34,0.0419016921837228,0.022408963585434174,0.0,0.11525476877479851,0.0419016921837228,0.044747663526951406,0.0,0.0385653143683191
2017-08-01,0.00690846286701209,27,0.03348554033485541,0.014109347442680775,0.0,0.01345599931215339,0.03348554033485541,0.01181841244387469,0.0,0.023636847934075653
2017-07-01,0.04738425539027244,31,0.057445868316394165,0.018433179723502304,0.21774193548387097,0.055216331919272325,0.057445868316394165,0.03447513286268735,0.21774193548387097,0.06658425439702981
2017-06-01,0.03823834196891192,25,0.08328767123287671,0.035555555555555556,0.0,0.1466557757620051,0.08328767123287671,0.058580435520852375,0.0,0.06754673339598175
2017-05-01,0.043203291679366054,34,0.0419016921837228,0.027077497665732957,0.0,0.1253372850795449,0.0419016921837228,0.05156719335258528,0.0,0.04061117331600926
2017-04-01,0.08902496467263307,22,0.09215442092154422,0.04329004329004329,0.0,0.08174431647197221,0.09215442092154422,0.06470137434120601,0.0,0.07470306485528833
2017-03-01,0.06683937823834198,15,0.0547945205479452,0.03597883597883598,0.15,0.10080392072567818,0.0547945205479452,0.058202015606056215,0.15,0.06533731701058398
2017-02-01,0.15155440414507773,10,0.06027397260273973,0.05714285714285714,0.675,0.06848372812862731,0.06027397260273973,0.08773449544067735,0.675,0.12998473219384704
2017-01-01,0.04196891191709845,5,0.08767123287671233,0.019047619047619046,0.0,0.1533725979106659,0.08767123287671233,0.05278900268107224,0.0,0.06843944053034906
2016-12-01,0.07577720207253887,8,0.2979452054794521,0.051587301587301584,0.84375,0.2588452775031168,0.2979452054794521,0.10029586691603581,0.84375,0.293230883362482
2016-11-01,0.04663212435233161,5,0.06027397260273973,0.08253968253968254,0.0,0.06902540733416448,0.06027397260273973,0.06906456004237366,0.0,0.056883751574355934
2016-10-01,0.3108808290155441,3,0.0547945205479452,0.1798941798941799,0.75,0.5757276127423584,0.0547945205479452,0.29835686120022487,0.75,0.1973837706888346
2016-09-01,1.0,9,0.2343987823439878,0.2892416225749559,1.0,1.0,0.2343987823439878,0.644620811287478,1.0,0.434025512792636
2016-08-01,0.17487046632124353,10,0.030136986301369864,0.031746031746031744,0.675,0.13623232019259707,0.030136986301369864,0.09558061980790833,0.675,0.11425637772319441
2016-07-01,0.377720207253886,5,0.20821917808219176,0.07619047619047618,0.0,0.6192940974162761,0.20821917808219176,0.2752701197546591,0.0,0.20751254277571277
2016-06-01,0.6606217616580311,3,0.0273972602739726,0.3386243386243386,0.0,0.3488672026138171,0.0273972602739726,0.4372721383323421,0.0,0.14761999766408618
2016-05-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,0.20984455958549225,2,1.0,0.14285714285714285,0.0,0.27877133399251963,1.0,0.19013620610272303,0.0,0.6570408618308169
2016-03-01,0.03886010362694301,3,0.21004566210045664,0.0,0.0,0.2041614719917458,0.21004566210045664,0.052490325486432066,0.0,0.1417744949062036
2016-02-01,0.011658031088082903,2,0.2465753424657534,0.0,0.0,0.09460040410988349,0.2465753424657534,0.02241749014840157,0.0,0.1546704525239725
2016-01-01,0.06994818652849741,3,0.4657534246575342,0.19047619047619047,0.0,0.6701345599931215,0.4657534246575342,0.25024946319526875,0.0,0.35452689375310115
2015-12-01,0.0,1,0.136986301369863,0.0,0.0,0.006190619491853316,0.136986301369863,0.0012381238983706633,0.0,0.082563217991429
