,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06456015561333428,0.2112689341012989,0.021494195810588045,0.051019557889732135,0.0,0.16422005399698414,0.0,0.016786578510800308,0.18253351685782404,0.16519608045214135,0.3952738989890186,0.082563217991429,0.35452689375310115,0.1546704525239725,0.1417744949062036,0.6570408618308169,0.0,0.14761999766408618,0.2075125427757128,0.1142563777231944,0.434025512792636,0.1973837706888346,0.056883751574355934,0.293230883362482,0.06843944053034906,0.12998473219384704,0.06533731701058397,0.07470306485528833,0.04061117331600926,0.06754673339598175,0.06658425439702981,0.023636847934075653,0.0385653143683191,0.06676042234876776,0.09718129104134683,0.03416606297402397,0.03129813097518175,0.04617072900658005,0.033762394460800295,0.046921518895552634,0.06880360084265992,0.03848738385116007,0.045858212264703685,0.033440041744775856,0.032135809775221104,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6888972431077695,0.1563157894736842,0.15603383458646616,0.16838763575605678,0.16753550543024226,0.21105263157894735,0.06962406015037594,0.09853383458646617,0.0,0.0,0.16829573934837092,0.0,0.3323684210526316,0.0,0.0,0.06812030075187969,0.0769674185463659,0.07164160401002506,0.0868922305764411,0.0,0.2337593984962406,0.0,0.09551378446115287,0.1149436090225564,0.14420050125313286,0.10304093567251464,0.09588972431077694,0.1748721804511278,0.09215981129293824,0.1052781954887218,0.22527777777777774,0.11374507697815965,0.1779084303500687,0.14478221415607986,0.1707225417288437,0.2043953710151202,0.225657344011108,0.1656651893663778,0.18242690862930072,0.1844772281470981,0.2424150144360354,0.2496986594001783,0.2297219816748112,0.2254195521698984,0.2170242324583663,0.2032802707114832,0.1994095571975988,0.26504211655294263,0.232565598728696,0.23663901113208016,0.22733464518918936,0.2030125913117862,
2,0.25704952799298786,0.0,0.0,0.15198756762747212,0.0,0.0,0.6163974329266451,0.3029813514412082,0.15198756762747212,0.0,0.0,0.0,0.0,0.3101862840907946,0.3589749337578205,0.18428554157389404,0.15397513525494422,0.0,0.16316763553200278,0.4473973321780832,0.3193601358090613,0.18999979850287635,0.1537266893015102,0.15695648669615242,0.15670804074271838,0.1877391216740381,0.0,0.0,0.21843075597141304,0.5573266087026607,0.25788810864724904,0.32619971891151256,0.3755698472987631,0.4327209239650603,0.2627001144821816,0.5144337844470127,0.31443253303865903,0.3220782362956769,0.5085848951459343,0.3350201825651548,0.3230382400055945,0.3134663694104338,0.2788254877286627,0.32273430867205405,0.3732118534525961,0.442830596489814,0.5242835903193157,0.3604453147076957,0.426566841162548,0.4623034388792309,0.4406761210796216,0.3855660729912909,0.4201035844713317,0.4542399165801908,0.3690227628234303,0.34071174189089803,0.4303045112881013,0.3688603490060179,0.3286895648331701,0.3326662955491926,0.3604497563306853,0.3913452835926868,0.4339563897439133,0.3941115490219994,0.4832914584594305,0.3334280485684025,0.3677076263736335,0.3121669865122552,0.3201021177196192,0.42593333183198223,0.4040522820556737,0.30639520510865115,0.4421839972534392,0.38371500348914017,0.486836587690805,0.34180104004873,0.4152369918275395,0.3645395297262744,0.5029794136898695,0.3616935474778229,0.33994614980857063,0.4063989922156506,0.3658043045322933,0.36712128704509794,0.3136174809810342,0.38939751876714257,0.4390732200437336,0.3536725884207917,0.3966984740928899,0.35428981583162894,0.5115231937581948,0.3681916288878641,0.3778642614626676,0.3495017024956969,0.371073861959192,0.3732784976302499,0.3778244177092943,0.4151801665392943,0.455087591240876,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3341166819831283,0.0,0.0,0.0,0.0,0.33542226306611994,0.0,0.0,0.33526559333616096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373284114472878,0.4516093052086442,0.3365972860408125,0.0,0.33469113765964464,0.4227393421551664,0.0,0.6048329032942175,0.3340905703614685,0.0,0.0,0.3535899051052628,0.0,0.3423157311843159,0.3347259531551911,0.4529276981658397,0.0,0.34423040039923786,0.5236256449184131,0.335735602526038,0.3444753817333522,0.3767873242774653,0.3592241842230907,0.3900974845959294,0.5535728796216742,0.6369228532828843,0.4388870394939358,0.4662497398470081,0.4610407893363764,0.5175431596008967,0.5619473605670037,0.607101720215327,0.4288989303185454,0.4901533588776007,0.5797043891426169,0.5221990617184282,0.5551398543716668,0.5822480505111872,0.5365206280193697,0.5580521937598143,0.6028592382718941,0.5865251920827951,0.5630380928067007,0.6289344130207075,0.5189541188145118,0.6179008474191697,0.6351230473641922,,,,
4,,,,,,,,,,,,,,,,,,,0.0,0.08629570747217806,0.0,0.08372019077901431,0.0,0.09638465331485084,0.0,0.0,0.0,0.0,0.19234031485874767,0.1079044417648368,0.2914862254752465,0.12339105479733005,0.16367507543063214,0.08953336523650285,0.15931076256817606,0.2064734185506749,0.24701322306106765,0.278446854710242,0.09330683624801273,0.18259234012745665,0.18271148538855506,0.1435798728939908,0.21792524204954106,0.2686814168357142,0.20389274298940085,0.1893268403959096,0.2779763060784265,0.2325924704371774,0.3613450254516936,0.20675104451286674,0.27048584870015363,0.3379158918374149,0.14517763367556166,0.3272546245674709,0.2396939106733161,0.19041224941187834,0.2551231593851594,0.14945385179246268,0.2192084458100146,0.25898912704897314,0.2308781393283842,0.21812372029744612,0.32494854726325995,0.2525442452839794,0.2785157173765903,0.2660973243842842,0.2283299636951217,0.2383671177795583,0.2444163712045623,0.3293631309748004,0.2175607935702938,0.24730491949505995,0.21084887807995284,0.2285322429555113,0.3079379267156262,0.2076222534223584,0.21848369858638514,0.22941892811682,0.2422140318320287,0.24119300560988305,0.3180622770617231,0.30005445497051764,0.2962485043130326,0.2185206967163794,0.2662996669642034,0.3117294217933838,0.23696062131836185,0.29174022594505883,0.21792109710266613,0.22078843828894285,0.8264664244076009,0.2697843008351518,0.2534250255129851,0.2491520799614273,0.2674402395949272,0.3786666740667328,0.3043834179972369,,,
5,,,,,,,,,,,,,,,,,,0.0,0.0,0.15095102862992438,0.1822272397054453,0.2744203637354291,0.35253607634646505,0.6153353366575306,0.5201734471485652,0.4593914077205032,0.24658203447478785,0.4533286002047353,0.2890987742898056,0.2031695725874803,0.2903628273288644,0.17774578853765194,0.2754225707666452,0.3385428547115797,0.2144867169699171,0.21195758346266885,0.3350153461764313,0.3197060454933684,0.2361824187663045,0.20813531932107124,0.2916445391456384,0.23389273684905726,0.436,0.3835089800308768,0.29987744281997925,0.30054204667915324,0.32395064425515074,0.3319811564709506,0.27817396750865225,0.5839090264174952,0.4563334729643679,0.3659146772911665,0.34121982253253275,0.2603800528555625,0.24581313891339315,0.2472612950053724,0.29719529627694324,0.2494413122001828,0.3236574640612526,0.29570832291573307,0.348339811565182,0.3743272746142343,0.3278030657591591,0.2885067031054839,0.3046507830472025,0.3784124321590605,0.30329199952519964,0.2929996187878417,0.4233233453216474,0.28118047486866826,0.2733236798885353,0.4988015782695979,0.2839158074481856,0.3134003478180798,0.3456463798920342,0.4421054173905726,0.4347904444459375,0.36617101437662697,0.5290964661935564,0.3863516640767164,0.3975909729873295,0.4111269547841253,0.3351375670341939,0.378159806671821,0.3185916910484698,0.4480068132713738,0.3196245383666739,0.3300970663417776,0.3718913985004303,0.36502349973960974,0.6340827690470017,0.359083767314311,0.3815964260690719,0.3751305939696523,0.3812261507700393,0.4283197161263794,0.3806413673825496,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33285463191098696,0.0,0.0,0.3744748513049073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2360950706988277,0.296920104832002,0.2964758556833697,0.32241205672645856,0.3986975199175572,0.4307358118464347,0.4948920057751761,0.3252787307167182,0.3945927480736335,0.5548103325434315,0.7770723024092243,0.5900826378227881,0.6259392615340393,0.4785604588754099,0.6412286035397097,0.5953905372338305,0.5513762524413959,0.454858239303631,0.4779401873927129,0.5022038831607929,0.4594101156782234,0.4822577962262571,0.5280859882571203,0.5537608026689825,0.4797918910577375,0.5358599341358506,0.5381820227774309,0.6165737261646597,0.5557931745157071,0.5274609737855375,0.6031367227448479,0.5675499745390343,0.582295352733635,0.6187019788534478,0.6037718146754604,0.6969108776643591,0.6129284734900466,0.6087720629842881,0.578910555320051,0.6267791386385652,0.6239042916730272,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02844922303830377,0.08612390131400859,0.11865671641791045,0.6213240288607405,0.38972260107848544,0.3904882335454701,0.09552223566117267,0.2712642092900933,0.3796080198951788,0.10424598759152542,0.32736417983919136,0.4159936742647864,0.2812004681250436,0.3113453028357113,0.2828854692276741,0.3891795917493317,0.3598245373505529,0.3238560206743511,0.3985013797719273,0.4532378497099465,0.3193142735086256,0.4371187991332552,0.3884089938970673,0.4802149389653088,0.6988783412453811,0.45017263818463615,0.416649045267432,0.5800911964627665,0.5487404319503488,0.6873367922453159,0.5532954889934631,0.8472403093163576,0.8920100061400417,0.8623387133974972
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1540013814335533,0.29751745716024985,0.2128268121357104,0.1821074137766715,0.18998694889116965,0.29125746970256977,0.314345824621557,0.3814325609977467,0.3730907135645152,0.3770049736243661,0.4626790630852945,0.4746540433130116,0.312503627987928,0.21758473872987544,0.4165703015183497,0.18446608330378647,0.09314694470820198,0.20354796982477805,0.21507214758650325,0.19121401015439266,0.2678828713798798,0.1685188208149149,0.2462470577780115,0.25341566776864044,0.36406043744710026,0.36738195675851015,0.7047007211490731,0.20133374725178785,0.12774886415939382,0.3255019514488321,0.24071673437825225,0.3771581508595165,0.2492096702584256,0.1359642725176879,0.3223740976455406,0.22722435131809304,0.8143060187224423,0.2010868761066667,0.2454186947085848,0.2803929260032779,0.3366720498347344,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07444681208775902,0.07157097925884193,0.09842849354129143,0.07913944239875259,0.06296506187756049,0.0501370893908496,0.07974689750179753,0.08972264583310781,0.08763795590854391,0.12004548043943153,0.1019210314327259,0.07419815042424674,0.12882542199332642,0.08711615746723891,0.09797034089354467,0.11438050780214015,0.07228608113932082,0.07409942874851577,0.1009508645210303,0.07101065258436629,0.14825930338277998,0.082988858363886,0.1101061607268236,0.11400870724907886,0.13451901159037824,0.09787222290292766,0.11764811537267612,0.1062453153406306,0.10773298913295744,0.1435507568723235,0.1082465373532519,0.11881069481751955,0.11366520606747416,0.12104821894254406,0.1424910877049596,0.14510983553965395,0.21054976459284247,0.1576574465799667,0.15741487034321194,0.1546265978324477,0.1645755638863112,0.2070018174156831,0.22290812326737094,0.5337766762958321,0.8999999999999999,
