,username,posts,comments,likes,views,posts_trans,comments_trans,likes_trans,views_trans,contribution
0,I072355,59.0,59.0,4.0,639.0,4.07753744390572,4.07753744390572,1.3862943611198906,6.459904454377535,100.0
1,D062462,26.0,26.0,10.0,9151.0,3.258096538021482,3.258096538021482,2.302585092994046,9.121618441915379,96.22938067168532
2,D042855,19.0,19.0,5.0,2412.0,2.9444389791664403,2.9444389791664403,1.6094379124341003,7.788211557847076,89.93899381500006
4,D051985,15.0,15.0,12.0,4381.0,2.70805020110221,2.70805020110221,2.4849066497880004,8.385032287813898,89.92106094117463
8,I830178,11.0,11.0,17.0,2164.0,2.3978952727983707,2.3978952727983707,2.833213344056216,7.679713639966372,86.39354234007712
10,D062193,9.0,9.0,24.0,2291.0,2.1972245773362196,2.1972245773362196,3.1780538303479458,7.736743682453495,84.92281564204801
3,I839276,16.0,16.0,0.0,696.0,2.772588722239781,2.772588722239781,0.0,6.54534966033442,82.78386928953772
13,,8.0,8.0,11.0,2094.0,2.0794415416798357,2.0794415416798357,2.3978952727983707,7.646831391430482,81.52522094654597
6,I834197,13.0,13.0,0.0,626.0,2.5649493574615367,2.5649493574615367,0.0,6.439350371100098,80.10467587634338
5,I052600,14.0,14.0,0.0,167.0,2.6390573296152584,2.6390573296152584,0.0,5.117993812416755,79.3770873018928
7,I812424,12.0,12.0,1.0,311.0,2.4849066497880004,2.4849066497880004,0.0,5.739792912179234,78.21003380579425
41,I321755,5.0,5.0,9.0,4333.0,1.6094379124341003,1.6094379124341003,2.1972245773362196,8.374015421739909,75.97144566223221
18,I044260,7.0,7.0,4.0,481.0,1.9459101490553132,1.9459101490553132,1.3862943611198906,6.175867270105761,75.36987221862792
9,I802327,10.0,10.0,0.0,89.0,2.302585092994046,2.302585092994046,0.0,4.48863636973214,74.17568134177961
42,I838899,5.0,5.0,7.0,1438.0,1.6094379124341003,1.6094379124341003,1.9459101490553132,7.271008538280992,73.82807006928489
151,D019566,2.0,2.0,196.0,15287.0,0.6931471805599453,0.6931471805599453,5.278114659230517,9.634758073001034,73.64535570801324
11,I039535,9.0,9.0,0.0,151.0,2.1972245773362196,2.1972245773362196,0.0,5.017279836814924,73.46465737214206
14,D059680,8.0,8.0,1.0,473.0,2.0794415416798357,2.0794415416798357,0.0,6.159095388491933,73.41562541484694
43,I064055,5.0,5.0,7.0,525.0,1.6094379124341003,1.6094379124341003,1.9459101490553132,6.263398262591624,72.45062856863363
22,D058487,6.0,6.0,3.0,444.0,1.791759469228055,1.791759469228055,1.0986122886681098,6.095824562432225,72.3968510026104
15,I051666,8.0,8.0,1.0,194.0,2.0794415416798357,2.0794415416798357,0.0,5.267858159063328,72.19165223488596
12,I802433,9.0,9.0,0.0,49.0,2.1972245773362196,2.1972245773362196,0.0,3.8918202981106265,71.91661413210063
16,I849621,8.0,8.0,0.0,109.0,2.0794415416798357,2.0794415416798357,0.0,4.6913478822291435,71.38872976336418
60,D050143,4.0,4.0,6.0,2217.0,1.3862943611198906,1.3862943611198906,1.791759469228055,7.7039102096163115,70.91743919876336
44,D036041,5.0,5.0,3.0,914.0,1.6094379124341003,1.6094379124341003,1.0986122886681098,6.81783057145415,70.85969780794098
23,I073941,6.0,6.0,2.0,280.0,1.791759469228055,1.791759469228055,0.6931471805599453,5.634789603169249,70.61834763737538
19,I024789,7.0,7.0,1.0,143.0,1.9459101490553132,1.9459101490553132,0.0,4.962844630259907,69.88290760361528
17,I329402,8.0,8.0,0.0,33.0,2.0794415416798357,2.0794415416798357,0.0,3.4965075614664802,69.69519545374696
40,I077736,6.0,5.0,0.0,815.0,1.791759469228055,1.6094379124341003,0.0,6.703188113240863,69.11980582660902
20,I307991,7.0,7.0,0.0,84.0,1.9459101490553132,1.9459101490553132,0.0,4.430816798843313,69.11752273758061
21,I811379,7.0,7.0,0.0,69.0,1.9459101490553132,1.9459101490553132,0.0,4.23410650459726,68.83237668510942
24,I024580,6.0,6.0,1.0,285.0,1.791759469228055,1.791759469228055,0.0,5.652489180268651,68.65329656880328
26,I833588,6.0,6.0,0.0,277.0,1.791759469228055,1.791759469228055,0.0,5.6240175061873385,68.61181888584198
27,I007578,6.0,6.0,0.0,201.0,1.791759469228055,1.791759469228055,0.0,5.303304908059076,68.14285921931867
59,I834319,4.0,4.0,7.0,225.0,1.3862943611198906,1.3862943611198906,1.9459101490553132,5.41610040220442,68.06940413434441
63,I837206,4.0,4.0,3.0,1023.0,1.3862943611198906,1.3862943611198906,1.0986122886681098,6.930494765951626,67.80419734741457
28,I817627,6.0,6.0,0.0,152.0,1.791759469228055,1.791759469228055,0.0,5.0238805208462765,67.73162612378799
61,I848919,4.0,4.0,6.0,231.0,1.3862943611198906,1.3862943611198906,1.791759469228055,5.442417710521793,67.65394180467014
25,C5256835,6.0,6.0,1.0,141.0,1.791759469228055,1.791759469228055,0.0,4.948759890378168,67.62064340856305
153,D043523,2.0,2.0,19.0,22285.0,0.6931471805599453,0.6931471805599453,2.9444389791664403,10.011669085380657,67.56985532550968
29,I817683,6.0,6.0,0.0,123.0,1.791759469228055,1.791759469228055,0.0,4.812184355372417,67.41839960578983
30,I840764,6.0,6.0,0.0,105.0,1.791759469228055,1.791759469228055,0.0,4.653960350157523,67.18333709307869
31,I829594,6.0,6.0,0.0,101.0,1.791759469228055,1.791759469228055,0.0,4.61512051684126,67.125509595192
32,I823667,6.0,6.0,0.0,94.0,1.791759469228055,1.791759469228055,0.0,4.543294782270004,67.01843889209478
62,D038060,4.0,4.0,5.0,197.0,1.3862943611198906,1.3862943611198906,1.6094379124341003,5.2832037287379885,66.87526378315694
33,I300348,6.0,6.0,0.0,77.0,1.791759469228055,1.791759469228055,0.0,4.343805421853684,66.72015854661129
34,I823262,6.0,6.0,0.0,72.0,1.791759469228055,1.791759469228055,0.0,4.276666119016055,66.61947019070273
35,I808762,6.0,6.0,0.0,69.0,1.791759469228055,1.791759469228055,0.0,4.23410650459726,66.55556494213094
84,I818302,3.0,3.0,4.0,4128.0,1.0986122886681098,1.0986122886681098,1.3862943611198906,8.325548307161398,66.45417286131473
47,D057083,5.0,5.0,0.0,378.0,1.6094379124341003,1.6094379124341003,0.0,5.934894195619588,66.37139068633816
36,I071885,6.0,6.0,0.0,54.0,1.791759469228055,1.791759469228055,0.0,3.9889840465642745,66.18630104533067
37,I001135,6.0,6.0,0.0,52.0,1.791759469228055,1.791759469228055,0.0,3.9512437185814275,66.12926408168546
64,D044664,4.0,4.0,3.0,264.0,1.3862943611198906,1.3862943611198906,1.0986122886681098,5.575949103146316,65.77645982293548
65,I823813,4.0,4.0,2.0,522.0,1.3862943611198906,1.3862943611198906,0.6931471805599453,6.257667587882639,65.5797559179315
38,I851781,6.0,6.0,0.0,30.0,1.791759469228055,1.791759469228055,0.0,3.4011973816621555,65.29232426626268
85,D032955,3.0,3.0,4.0,1822.0,1.0986122886681098,1.0986122886681098,1.3862943611198906,7.507690077819904,65.2120478066802
48,I036171,5.0,5.0,0.0,162.0,1.6094379124341003,1.6094379124341003,0.0,5.087596335232384,65.08247529267528
45,D055299,5.0,5.0,1.0,161.0,1.6094379124341003,1.6094379124341003,0.0,5.081404364984463,65.0729620580285
39,I075923,6.0,6.0,0.0,26.0,1.791759469228055,1.791759469228055,0.0,3.258096538021482,65.07282030236516
49,I062905,5.0,5.0,0.0,122.0,1.6094379124341003,1.6094379124341003,0.0,4.804021044733257,64.64535911388717
50,D068609,5.0,5.0,0.0,117.0,1.6094379124341003,1.6094379124341003,0.0,4.762173934797756,64.58060351000954
51,I822901,5.0,5.0,0.0,107.0,1.6094379124341003,1.6094379124341003,0.0,4.672828834461906,64.4421301707134
52,I834749,5.0,5.0,0.0,89.0,1.6094379124341003,1.6094379124341003,0.0,4.48863636973214,64.15571247911863
53,I803749,5.0,5.0,0.0,87.0,1.6094379124341003,1.6094379124341003,0.0,4.465908118654584,64.1202815702167
46,I816984,5.0,5.0,1.0,81.0,1.6094379124341003,1.6094379124341003,0.0,4.394449154672439,64.00875693481555
54,I847944,5.0,5.0,0.0,75.0,1.6094379124341003,1.6094379124341003,0.0,4.31748811353631,63.88842757285235
55,I030401,5.0,5.0,0.0,70.0,1.6094379124341003,1.6094379124341003,0.0,4.248495242049359,63.78036354811882
56,D067078,5.0,5.0,0.0,69.0,1.6094379124341003,1.6094379124341003,0.0,4.23410650459726,63.75780328390218
66,D036607,4.0,4.0,1.0,572.0,1.3862943611198906,1.3862943611198906,0.0,6.349138991379798,63.574999307885356
87,I333957,3.0,3.0,3.0,1106.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,7.00850518208228,63.54317573310081
86,D061585,3.0,3.0,4.0,311.0,1.0986122886681098,1.0986122886681098,1.3862943611198906,5.739792912179234,62.44267269905456
71,D039236,4.0,4.0,0.0,194.0,1.3862943611198906,1.3862943611198906,0.0,5.267858159063328,61.85109856412271
72,I819273,4.0,4.0,0.0,181.0,1.3862943611198906,1.3862943611198906,0.0,5.198497031265826,61.73887228086279
73,D038147,4.0,4.0,0.0,178.0,1.3862943611198906,1.3862943611198906,0.0,5.181783550292085,61.71179935973483
57,I817216,5.0,5.0,0.0,18.0,1.6094379124341003,1.6094379124341003,0.0,2.8903717578961645,61.61455032335877
74,I830206,4.0,4.0,0.0,152.0,1.3862943611198906,1.3862943611198906,0.0,5.0238805208462765,61.45543542134089
