,username,posts,comments,likes,views,posts_trans,comments_trans,likes_trans,views_trans,contribution
1,D032728,207.0,347.0,763.0,763.0,5.332718793265369,5.849324779946859,6.637258031284457,6.637258031284457,100.0
0,D045484,369.0,416.0,112.0,112.0,5.910796644040527,6.030685260261263,4.718498871295094,4.718498871295094,98.95720786925573
5,I321755,105.0,114.0,195.0,195.0,4.653960350157523,4.736198448394496,5.272999558563747,5.272999558563747,91.23839666545575
2,D045643,187.0,190.0,14.0,14.0,5.231108616854587,5.247024072160486,2.6390573296152584,2.6390573296152584,89.47805550137463
11,D035583,76.0,106.0,129.0,129.0,4.330733340286331,4.663439094112067,4.859812404361672,4.859812404361672,88.67727893221772
6,D053956,94.0,101.0,58.0,58.0,4.543294782270004,4.61512051684126,4.060443010546419,4.060443010546419,87.68638927768711
8,I830178,85.0,93.0,79.0,79.0,4.442651256490317,4.532599493153256,4.3694478524670215,4.3694478524670215,87.68114116249839
4,D028073,124.0,125.0,17.0,17.0,4.820281565605037,4.8283137373023015,2.833213344056216,2.833213344056216,86.79824006182727
10,D065568,78.0,79.0,33.0,33.0,4.356708826689592,4.3694478524670215,3.4965075614664802,3.4965075614664802,84.76488628979516
12,I852153,66.0,67.0,31.0,31.0,4.189654742026425,4.204692619390966,3.4339872044851463,3.4339872044851463,83.30405029631379
36,D067046,44.0,47.0,69.0,69.0,3.784189633918261,3.8501476017100584,4.23410650459726,4.23410650459726,82.13972309036106
48,I002209,39.0,41.0,69.0,69.0,3.6635616461296463,3.713572066704308,4.23410650459726,4.23410650459726,81.10658523966745
41,D039236,41.0,43.0,57.0,57.0,3.713572066704308,3.7612001156935624,4.04305126783455,4.04305126783455,81.03894554241889
165,D034657,17.0,87.0,123.0,123.0,2.833213344056216,4.465908118654584,4.812184355372417,4.812184355372417,80.911096441332
29,D062462,49.0,55.0,23.0,23.0,3.8918202981106265,4.007333185232471,3.1354942159291497,3.1354942159291497,80.48924755951155
7,D058883,90.0,90.0,3.0,3.0,4.499809670330265,4.499809670330265,1.0986122886681098,1.0986122886681098,80.08169757931941
43,I348286,40.0,42.0,25.0,25.0,3.6888794541139363,3.7376696182833684,3.2188758248682006,3.2188758248682006,78.78327704257599
59,D045309,33.0,35.0,46.0,46.0,3.4965075614664802,3.5553480614894135,3.828641396489095,3.828641396489095,78.73756797147803
37,D027046,44.0,44.0,17.0,17.0,3.784189633918261,3.784189633918261,2.833213344056216,2.833213344056216,78.446251249603
13,I824896,66.0,67.0,4.0,4.0,4.189654742026425,4.204692619390966,1.3862943611198906,1.3862943611198906,78.25477149919419
49,I300348,39.0,39.0,22.0,22.0,3.6635616461296463,3.6635616461296463,3.091042453358316,3.091042453358316,78.07907962850258
70,I072505,30.0,31.0,49.0,49.0,3.4011973816621555,3.4339872044851463,3.8918202981106265,3.8918202981106265,78.00238101728307
22,I007578,57.0,57.0,6.0,6.0,4.04305126783455,4.04305126783455,1.791759469228055,1.791759469228055,77.9914823009094
16,I844892,62.0,62.0,4.0,4.0,4.127134385045092,4.127134385045092,1.3862943611198906,1.3862943611198906,77.67109604779402
112,D027140,22.0,37.0,62.0,62.0,3.091042453358316,3.6109179126442243,4.127134385045092,4.127134385045092,77.62073189402835
30,I839276,49.0,50.0,8.0,8.0,3.8918202981106265,3.912023005428146,2.0794415416798357,2.0794415416798357,77.50603196477155
152,D046082,18.0,38.0,80.0,80.0,2.8903717578961645,3.6375861597263857,4.382026634673881,4.382026634673881,77.3356406042291
116,D054823,21.0,36.0,60.0,60.0,3.044522437723423,3.58351893845611,4.0943445622221,4.0943445622221,77.20295760062938
65,I811203,31.0,32.0,31.0,31.0,3.4339872044851463,3.4657359027997265,3.4339872044851463,3.4339872044851463,77.10363363411305
57,D038980,33.0,39.0,21.0,21.0,3.4965075614664802,3.6635616461296463,3.044522437723423,3.044522437723423,77.1019378895553
87,D023226,27.0,37.0,31.0,31.0,3.295836866004329,3.6109179126442243,3.4339872044851463,3.4339872044851463,76.8896263705268
23,D021227,55.0,56.0,4.0,4.0,4.007333185232471,4.02535169073515,1.3862943611198906,1.3862943611198906,76.70256123517807
39,D051008,42.0,42.0,10.0,10.0,3.7376696182833684,3.7376696182833684,2.302585092994046,2.302585092994046,76.68538730979587
20,D021532,60.0,60.0,3.0,3.0,4.0943445622221,4.0943445622221,1.0986122886681098,1.0986122886681098,76.64626879509402
24,I824239,55.0,55.0,4.0,4.0,4.007333185232471,4.007333185232471,1.3862943611198906,1.3862943611198906,76.64014614641796
9,I829966,80.0,80.0,0.0,0.0,4.382026634673881,4.382026634673881,0.0,0.0,76.282424359723
14,D067078,65.0,64.0,2.0,2.0,4.174387269895637,4.1588830833596715,0.6931471805599453,0.6931471805599453,76.23108052113564
328,D036607,11.0,13.0,497.0,497.0,2.3978952727983707,2.5649493574615367,6.208590026096629,6.208590026096629,75.80453317224682
19,D019601,60.0,62.0,2.0,2.0,4.0943445622221,4.127134385045092,0.6931471805599453,0.6931471805599453,75.70032481376703
88,D048930,27.0,28.0,25.0,25.0,3.295836866004329,3.332204510175204,3.2188758248682006,3.2188758248682006,75.35432760597494
98,I047582,25.0,31.0,25.0,25.0,3.2188758248682006,3.4339872044851463,3.2188758248682006,3.2188758248682006,75.30617173537847
103,C5258784,24.0,24.0,35.0,35.0,3.1780538303479458,3.1780538303479458,3.5553480614894135,3.5553480614894135,75.07724807476171
403,D057830,9.0,52.0,88.0,88.0,2.1972245773362196,3.9512437185814275,4.477336814478207,4.477336814478207,75.05402994543125
289,D044196,12.0,51.0,49.0,49.0,2.4849066497880004,3.9318256327243257,3.8918202981106265,3.8918202981106265,74.95831252325264
187,D043523,16.0,36.0,43.0,43.0,2.772588722239781,3.58351893845611,3.7612001156935624,3.7612001156935624,74.906038007535
31,I808552,49.0,49.0,3.0,3.0,3.8918202981106265,3.8918202981106265,1.0986122886681098,1.0986122886681098,74.87131113055011
66,I863506,31.0,32.0,13.0,13.0,3.4339872044851463,3.4657359027997265,2.5649493574615367,2.5649493574615367,74.82489468511163
78,I066551,28.0,28.0,19.0,19.0,3.332204510175204,3.332204510175204,2.9444389791664403,2.9444389791664403,74.81925721483259
32,I072355,49.0,48.0,3.0,3.0,3.8918202981106265,3.871201010907891,1.0986122886681098,1.0986122886681098,74.79813415576028
53,I848695,34.0,34.0,9.0,9.0,3.5263605246161616,3.5263605246161616,2.1972245773362196,2.1972245773362196,74.55248106067425
62,I051699,32.0,34.0,10.0,10.0,3.4657359027997265,3.5263605246161616,2.302585092994046,2.302585092994046,74.5100175448852
15,I817683,64.0,64.0,1.0,1.0,4.1588830833596715,4.1588830833596715,0.0,0.0,74.31480393120464
3,C5038697,160.0,16.0,0.0,0.0,5.075173815233827,2.772588722239781,0.0,0.0,74.27241293782656
35,I812424,45.0,45.0,3.0,3.0,3.8066624897703196,3.8066624897703196,1.0986122886681098,1.0986122886681098,74.11227927923511
17,I833471,62.0,62.0,1.0,1.0,4.127134385045092,4.127134385045092,0.0,0.0,74.03060281351426
125,D032167,20.0,24.0,34.0,34.0,2.995732273553991,3.1780538303479458,3.5263605246161616,3.5263605246161616,74.02553231508934
107,I075996,23.0,29.0,19.0,19.0,3.1354942159291497,3.367295829986474,2.9444389791664403,2.9444389791664403,73.89066696401918
18,I015933,61.0,61.0,1.0,1.0,4.110873864173311,4.110873864173311,0.0,0.0,73.88462208179003
44,I834749,40.0,40.0,4.0,4.0,3.6888794541139363,3.6888794541139363,1.3862943611198906,1.3862943611198906,73.82972929185078
21,I342860,59.0,59.0,0.0,0.0,4.07753744390572,4.07753744390572,0.0,0.0,73.58443498514787
63,I307991,32.0,32.0,7.0,7.0,3.4657359027997265,3.4657359027997265,1.9459101490553132,1.9459101490553132,73.33109364746575
93,I025371,26.0,26.0,12.0,12.0,3.258096538021482,3.258096538021482,2.4849066497880004,2.4849066497880004,72.91394799606888
52,D019811,36.0,36.0,4.0,4.0,3.58351893845611,3.58351893845611,1.3862943611198906,1.3862943611198906,72.87604497483247
79,I819646,28.0,28.0,9.0,9.0,3.332204510175204,3.332204510175204,2.1972245773362196,2.1972245773362196,72.80279912913639
25,I345155,54.0,54.0,0.0,0.0,3.9889840465642745,3.9889840465642745,0.0,0.0,72.78101874676005
166,I819934,17.0,21.0,33.0,33.0,2.833213344056216,3.044522437723423,3.4965075614664802,3.4965075614664802,72.57734387407584
89,I837365,27.0,27.0,9.0,9.0,3.295836866004329,3.295836866004329,2.1972245773362196,2.1972245773362196,72.47036643423856
170,I801711,17.0,17.0,42.0,42.0,2.833213344056216,2.833213344056216,3.7376696182833684,3.7376696182833684,72.46587689671233
28,I048108,52.0,52.0,0.0,0.0,3.9512437185814275,3.9512437185814275,0.0,0.0,72.43590488841105
27,D001713,52.0,52.0,1.0,1.0,3.9512437185814275,3.9512437185814275,0.0,0.0,72.43590488841105
108,C5223182,23.0,23.0,15.0,15.0,3.1354942159291497,3.1354942159291497,2.70805020110221,2.70805020110221,72.40533421966798
209,I328941,15.0,15.0,61.0,61.0,2.70805020110221,2.70805020110221,4.110873864173311,4.110873864173311,72.34481464180152
26,I312264,53.0,49.0,0.0,0.0,3.970291913552122,3.8918202981106265,0.0,0.0,72.32270119204038
45,I048345,40.0,40.0,2.0,2.0,3.6888794541139363,3.6888794541139363,0.6931471805599453,0.6931471805599453,71.93534891234836
137,D065339,19.0,24.0,17.0,17.0,2.9444389791664403,3.1780538303479458,2.833213344056216,2.833213344056216,71.85246483340444
94,I075020,26.0,26.0,8.0,8.0,3.258096538021482,3.258096538021482,2.0794415416798357,2.0794415416798357,71.79774009173761
58,I060548,33.0,37.0,3.0,3.0,3.4965075614664802,3.6109179126442243,1.0986122886681098,1.0986122886681098,71.7045219517556
33,I327544,48.0,48.0,0.0,0.0,3.871201010907891,3.871201010907891,0.0,0.0,71.69846234813497
126,I828442,20.0,20.0,18.0,18.0,2.995732273553991,2.995732273553991,2.8903717578961645,2.8903717578961645,71.62102864688464
67,I860013,31.0,32.0,4.0,4.0,3.4339872044851463,3.4657359027997265,1.3862943611198906,1.3862943611198906,71.6185366103207
68,I861180,31.0,31.0,4.0,4.0,3.4339872044851463,3.4339872044851463,1.3862943611198906,1.3862943611198906,71.50070498983497
205,I855794,15.0,19.0,31.0,31.0,2.70805020110221,2.9444389791664403,3.4339872044851463,3.4339872044851463,71.3419811903495
34,I067679,46.0,46.0,1.0,1.0,3.828641396489095,3.828641396489095,0.0,0.0,71.30325008884428
241,I823813,14.0,15.0,44.0,44.0,2.6390573296152584,2.70805020110221,3.784189633918261,3.784189633918261,71.05390887786842
153,D040566,18.0,20.0,18.0,18.0,2.8903717578961645,2.995732273553991,2.8903717578961645,2.8903717578961645,71.03256398833827
109,I054636,23.0,23.0,9.0,9.0,3.1354942159291497,3.1354942159291497,2.1972245773362196,2.1972245773362196,70.98613100126559
38,I844080,44.0,44.0,0.0,0.0,3.784189633918261,3.784189633918261,0.0,0.0,70.88811473122621
75,D065475,29.0,29.0,4.0,4.0,3.367295829986474,3.367295829986474,1.3862943611198906,1.3862943611198906,70.87869627846948
556,I816584,7.0,48.0,35.0,35.0,1.9459101490553132,3.871201010907891,3.5553480614894135,3.5553480614894135,70.87351368948669
