,username,posts,comments,likes,views,posts_trans,comments_trans,likes_trans,views_trans,contribution
0,I072355,90.0,90.0,4.0,890.0,4.499809670330265,4.499809670330265,1.3862943611198906,6.7912214627261855,100.0
2,I807347,39.0,39.0,15.0,2230.0,3.6635616461296463,3.6635616461296463,2.70805020110221,7.709756864454165,95.49966472357616
8,I830178,26.0,26.0,39.0,6558.0,3.258096538021482,3.258096538021482,3.6635616461296463,8.788440957404594,94.4722450388741
9,D039236,26.0,26.0,35.0,2237.0,3.258096538021482,3.258096538021482,3.5553480614894135,7.71289096149013,93.21058966022277
10,D062462,26.0,26.0,10.0,9151.0,3.258096538021482,3.258096538021482,2.302585092994046,9.121618441915379,92.12597321281902
13,D068200,24.0,24.0,22.0,2969.0,3.1780538303479458,3.1780538303479458,3.091042453358316,7.99598047476376,91.77801125201978
3,D038060,31.0,31.0,6.0,636.0,3.4339872044851463,3.4339872044851463,1.791759469228055,6.455198563340122,90.18659233057848
22,D051985,19.0,19.0,19.0,5861.0,2.9444389791664403,2.9444389791664403,2.9444389791664403,8.676075516476429,89.8106157273003
68,I830174,10.0,10.0,225.0,22379.0,2.302585092994046,2.302585092994046,5.41610040220442,10.015878298115155,89.67233923341212
14,I076510,24.0,24.0,7.0,2459.0,3.1780538303479458,3.1780538303479458,1.9459101490553132,7.807510042216193,89.26872699869433
31,I321755,16.0,16.0,21.0,5046.0,2.772588722239781,2.772588722239781,3.044522437723423,8.526351129201004,88.09215573995515
15,I300348,24.0,24.0,3.0,3915.0,3.1780538303479458,3.1780538303479458,1.0986122886681098,8.272570608424903,87.99749321515266
21,I075020,19.0,28.0,9.0,500.0,2.9444389791664403,3.332204510175204,2.1972245773362196,6.214608098422191,87.32235331722649
25,I819646,17.0,17.0,15.0,1814.0,2.833213344056216,2.833213344056216,2.70805020110221,7.503289630675082,86.951129137473
41,D062193,14.0,14.0,26.0,3768.0,2.6390573296152584,2.6390573296152584,3.258096538021482,8.234299635696253,86.83463841798753
26,,17.0,17.0,11.0,2386.0,2.833213344056216,2.833213344056216,2.3978952727983707,7.777373602657861,86.58546790683485
27,D051008,17.0,17.0,11.0,1991.0,2.833213344056216,2.833213344056216,2.3978952727983707,7.596392304064196,86.39371130364182
4,I812424,31.0,31.0,1.0,577.0,3.4339872044851463,3.4339872044851463,0.0,6.3578422665081,86.36548960062348
19,I833588,20.0,20.0,5.0,1728.0,2.995732273553991,2.995732273553991,1.6094379124341003,7.454719949364001,86.29458609651206
24,D042855,19.0,19.0,5.0,2412.0,2.9444389791664403,2.9444389791664403,1.6094379124341003,7.788211557847076,86.10382065387846
32,D049924,16.0,16.0,9.0,2948.0,2.772588722239781,2.772588722239781,2.1972245773362196,7.988882253309227,85.73878615900756
6,I073714,27.0,27.0,2.0,315.0,3.295836866004329,3.295836866004329,0.6931471805599453,5.752572638825633,85.72597760627397
28,I803126,17.0,17.0,7.0,2025.0,2.833213344056216,2.833213344056216,1.9459101490553132,7.613324979540639,85.44763797025925
23,D072493,19.0,19.0,8.0,393.0,2.9444389791664403,2.9444389791664403,2.0794415416798357,5.973809611869261,85.16813122477222
18,I801532,23.0,23.0,0.0,3308.0,3.1354942159291497,3.1354942159291497,0.0,8.104099056143582,85.04102658157774
11,D031907,25.0,25.0,0.0,1114.0,3.2188758248682006,3.2188758248682006,0.0,7.01571242048723,84.76626102565355
42,I341321,14.0,14.0,8.0,4866.0,2.6390573296152584,2.6390573296152584,2.0794415416798357,8.490027523343468,84.58770924405839
12,I834197,25.0,25.0,0.0,871.0,3.2188758248682006,3.2188758248682006,0.0,6.769641976852503,84.49982069058285
5,I833471,29.0,29.0,1.0,190.0,3.367295829986474,3.367295829986474,0.0,5.247024072160486,84.45814672009446
59,D064969,11.0,11.0,24.0,4823.0,2.3978952727983707,2.3978952727983707,3.1780538303479458,8.481151420068972,84.34547812844335
43,D063444,14.0,14.0,8.0,2827.0,2.6390573296152584,2.6390573296152584,2.0794415416798357,7.946971357693591,83.997323047041
52,I838899,12.0,12.0,16.0,2781.0,2.4849066497880004,2.4849066497880004,2.772588722239781,7.930565854233965,83.80988293304135
7,I062161,27.0,27.0,0.0,181.0,3.295836866004329,3.295836866004329,0.0,5.198497031265826,83.62604862608876
17,I007578,23.0,23.0,1.0,480.0,3.1354942159291497,3.1354942159291497,0.0,6.173786103901937,82.93486724346059
16,I828625,24.0,24.0,0.0,293.0,3.1780538303479458,3.1780538303479458,0.0,5.680172609017068,82.85967726923835
47,D036607,13.0,13.0,8.0,1935.0,2.5649493574615367,2.5649493574615367,2.0794415416798357,7.5678626054638825,82.76620275140112
33,C5242389,16.0,16.0,3.0,840.0,2.772588722239781,2.772588722239781,1.0986122886681098,6.733401891837359,81.96544648328106
44,D024000,14.0,14.0,5.0,598.0,2.6390573296152584,2.6390573296152584,1.6094379124341003,6.393590753950631,81.2315641186271
219,D000409,5.0,5.0,126.0,25726.0,1.6094379124341003,1.6094379124341003,4.836281906951478,10.155257432638662,81.14031613406664
45,D057456,14.0,14.0,5.0,481.0,2.6390573296152584,2.6390573296152584,1.6094379124341003,6.175867270105761,80.9855732411419
53,I044260,12.0,12.0,5.0,2086.0,2.4849066497880004,2.4849066497880004,1.6094379124341003,7.643003635560718,80.90137579271382
84,I839738,9.0,9.0,17.0,2773.0,2.1972245773362196,2.1972245773362196,2.833213344056216,7.927685045615778,80.73743069663396
1,C5038697,61.0,3.0,0.0,520.0,4.110873864173311,1.0986122886681098,0.0,6.253828811575473,80.44994319925925
105,D040711,8.0,8.0,19.0,4954.0,2.0794415416798357,2.0794415416798357,2.9444389791664403,8.507950610049305,80.3105387852273
20,D045643,20.0,20.0,0.0,134.0,2.995732273553991,2.995732273553991,0.0,4.897839799950911,79.92613018662679
29,I823145,17.0,17.0,1.0,614.0,2.833213344056216,2.833213344056216,0.0,6.419994928147142,79.8079092900406
60,I848919,11.0,11.0,11.0,381.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,5.942799375126701,79.76818652735774
162,I815750,6.0,6.0,30.0,19648.0,1.791759469228055,1.791759469228055,3.4011973816621555,9.88573083094687,79.63961951926703
35,I839276,16.0,16.0,0.0,696.0,2.772588722239781,2.772588722239781,0.0,6.54534966033442,79.25380451778703
161,D044664,6.0,6.0,39.0,8001.0,1.791759469228055,1.791759469228055,3.6635616461296463,8.987321812850125,79.2084690238592
86,D055396,9.0,9.0,9.0,2385.0,2.1972245773362196,2.1972245773362196,2.1972245773362196,7.776954403322442,79.10614092904896
160,D066367,6.0,6.0,41.0,5779.0,1.791759469228055,1.791759469228055,3.713572066704308,8.661985936317778,78.94736388483734
85,I048345,9.0,9.0,10.0,1650.0,2.1972245773362196,2.1972245773362196,2.302585092994046,7.408530566894626,78.92324163257273
30,I806541,17.0,17.0,0.0,233.0,2.833213344056216,2.833213344056216,0.0,5.4510384535657,78.6874445528214
54,D053956,12.0,12.0,3.0,827.0,2.4849066497880004,2.4849066497880004,1.0986122886681098,6.717804695023691,78.66522545210307
38,I016939,15.0,15.0,1.0,766.0,2.70805020110221,2.70805020110221,0.0,6.641182169740591,78.61580363981994
34,I067902,16.0,16.0,1.0,324.0,2.772588722239781,2.772588722239781,0.0,5.780743515792329,78.36472424461931
36,D019811,16.0,16.0,0.0,299.0,2.772588722239781,2.772588722239781,0.0,5.700443573390687,78.2707658639402
37,I817627,16.0,16.0,0.0,249.0,2.772588722239781,2.772588722239781,0.0,5.517452896464707,78.05622726056548
129,I843334,7.0,7.0,28.0,1217.0,1.9459101490553132,1.9459101490553132,3.332204510175204,7.104144092987527,78.03781008925563
39,C5165998,15.0,15.0,1.0,297.0,2.70805020110221,2.70805020110221,0.0,5.6937321388027,77.50353402286925
40,I052600,15.0,15.0,0.0,262.0,2.70805020110221,2.70805020110221,0.0,5.568344503761097,77.35513547630089
55,I828442,12.0,12.0,1.0,1598.0,2.4849066497880004,2.4849066497880004,0.0,7.37650812632622,76.85206917869387
130,I002209,7.0,7.0,26.0,518.0,1.9459101490553132,1.9459101490553132,3.258096538021482,6.249975242259483,76.85170571355658
163,I806923,6.0,6.0,14.0,8258.0,1.791759469228055,1.791759469228055,2.6390573296152584,9.018937706446035,76.83903795593154
87,I823813,9.0,9.0,4.0,1429.0,2.1972245773362196,2.1972245773362196,1.3862943611198906,7.264730177929867,76.59406409184564
